"id","keyMap","type","valueEn","valueVi","createdAt","updatedAt"
"24","R1","ROLE","Admin","Quản trị viên","0000-00-00 00:00:00","0000-00-00 00:00:00"
"25","R2","ROLE","Doctor","Bác sĩ","0000-00-00 00:00:00","0000-00-00 00:00:00"
"26","R3","ROLE","Patient","Bệnh nhân","0000-00-00 00:00:00","0000-00-00 00:00:00"
"27","S1","STATUS","New","Lịch hẹn mới","0000-00-00 00:00:00","0000-00-00 00:00:00"
"28","S2","STATUS","Confirmed","Đã xác nhận","0000-00-00 00:00:00","0000-00-00 00:00:00"
"29","S3","STATUS","Done","Đã khám xong","0000-00-00 00:00:00","0000-00-00 00:00:00"
"30","S4","STATUS","Cancel","Đã hủy","0000-00-00 00:00:00","0000-00-00 00:00:00"
"31","T1","TIME","8:00 AM - 9:00 AM","8:00 - 9:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"32","T2","TIME","9:00 AM - 10:00 AM","9:00 - 10:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"33","T3","TIME","10:00 AM - 11:00 AM","10:00 - 11:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"34","T4","TIME","11:00 AM - 0:00 PM","11:00 - 12:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"35","T5","TIME","1:00 PM - 2:00 PM","13:00 - 14:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"36","T6","TIME","2:00 PM - 3:00 PM","14:00 - 15:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"37","T7","TIME","3:00 PM - 4:00 PM","15:00 - 16:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"38","T8","TIME","4:00 PM - 5:00 PM","16:00 - 17:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"39","P0","POSITION","Doctor","Bác sĩ","0000-00-00 00:00:00","0000-00-00 00:00:00"
"40","P1","POSITION","Master","Thạc sĩ","0000-00-00 00:00:00","0000-00-00 00:00:00"
"41","P2","POSITION","Dr","Tiến sĩ","0000-00-00 00:00:00","0000-00-00 00:00:00"
"42","P3","POSITION","Associate Professor","Phó giáo sư","0000-00-00 00:00:00","0000-00-00 00:00:00"
"43","P4","POSITION","Professor","Giáo sư","0000-00-00 00:00:00","0000-00-00 00:00:00"
"44","M","GENDER","Male","Nam","0000-00-00 00:00:00","0000-00-00 00:00:00"
"45","F","GENDER","Female","Nữ","0000-00-00 00:00:00","0000-00-00 00:00:00"
"46","O","GENDER","Other","Khác","0000-00-00 00:00:00","0000-00-00 00:00:00"
"47","PRI1","PRICE","10","200000","0000-00-00 00:00:00","0000-00-00 00:00:00"
"48","PRI2","PRICE","15","250000","0000-00-00 00:00:00","0000-00-00 00:00:00"
"49","PRI3","PRICE","20","300000","0000-00-00 00:00:00","0000-00-00 00:00:00"
"50","PRI4","PRICE","25","350000","0000-00-00 00:00:00","0000-00-00 00:00:00"
"51","PRI5","PRICE","30","400000","0000-00-00 00:00:00","0000-00-00 00:00:00"
"52","PRI6","PRICE","35","450000","0000-00-00 00:00:00","0000-00-00 00:00:00"
"53","PRI7","PRICE","40","500000","0000-00-00 00:00:00","0000-00-00 00:00:00"
"54","PAY1","PAYMENT","Cash","Tiền mặt","0000-00-00 00:00:00","0000-00-00 00:00:00"
"55","PAY2","PAYMENT","Credit card","Thẻ ATM","0000-00-00 00:00:00","0000-00-00 00:00:00"
"56","PAY3","PAYMENT","All payment method","Tất cả","0000-00-00 00:00:00","0000-00-00 00:00:00"
"57","PRO1","PROVINCE","Ha Noi","Hà Nội","0000-00-00 00:00:00","0000-00-00 00:00:00"
"58","PRO4","PROVINCE","Ho Chi Minh","Hồ Chí Minh","0000-00-00 00:00:00","0000-00-00 00:00:00"
"59","PRO3","PROVINCE","Da Nang","Đà Nẵng","0000-00-00 00:00:00","0000-00-00 00:00:00"
"60","PRO5","PROVINCE","Can Tho","Cần Thơ","0000-00-00 00:00:00","0000-00-00 00:00:00"
"61","PRO2","PROVINCE","Hai Phong","Hải Phòng","0000-00-00 00:00:00","0000-00-00 00:00:00"
"id","statusId","doctorId","patientId","date","timeType","createdAt","updatedAt"
"id","name","address","description","image","createdAt","updatedAt"
"id","doctorId","priceId","provinceId","paymentId","addressClinic","nameClinic","note","count","createdAt","updatedAt"
"2","2","PRI2","PRO4","PAY3","79 Đ. Thành Thái, Phường 14, Quận 10, Hồ Chí Minh","Bệnh viện STO Phương Đông","no","0","2024-08-11 22:30:40","2024-08-12 15:24:19"
"3","6","PRI2","PRO4","PAY3","HCM","Bệnh viện Trường Đh Y Dược","no","0","2024-08-11 22:32:50","2024-08-11 22:32:50"
"4","3","PRI4","PRO4","PAY3","HCM","Bệnh viện Nhân dân Gia Định","no","0","2024-08-12 11:34:30","2024-08-12 11:37:21"
"id","doctorId","clinicId","specialtyId","createdAt","updatedAt"
"id","patientId","doctorId","description","files","createdAt","updatedAt"
"id","doctorId","clinicId","specialtyId","contentHtml","contentMarkdown","description","createdAt","updatedAt"
"1","2",NULL,NULL,"<p><strong>Tiến sĩ, Bác sĩ Phan Minh</strong></p>
<ul>
<li>Là Giám đốc Bệnh viện STO Phương Đông</li>
<li>Hơn 40 năm gắn bó với nghề y, đã thực hiện hàng trăm nghìn ca phẫu thuật, trong đó có 35.000 ca khám &amp; phẫu thuật từ thiện cho trẻ em khuyết tật và người nghèo tại nhiều tỉnh thành của Việt Nam</li>
</ul>
<p><strong>Quá trình công tác</strong></p>
<ul>
<li>Sáng lập viên kiêm Giám đốc Bệnh viện STO Phương Đông (2007 đến nay)</li>
<li>Nguyên sáng lập viên kiêm Giám đốc bệnh viện Sài Gòn ITO (2002)</li>
<li>Giảng viên trường Đại học Y Thanh Hóa &amp; Đại học Y Thái Bình (1968 – 1971)</li>
<li>Chủ nhiệm liên bộ môn ngoại chấn thương chỉnh hình &amp; phẫu thuật thực hành tại Đại học Y Thái Bình (1979)</li>
<li>Phó chủ nhiệm khoa chấn thương chỉnh hình bệnh viện Việt Nam – Bungari (1979)</li>
<li>Bác sĩ khoa chấn thương Bệnh viện Thống Nhất TPHCM</li>
<li>Bác sĩ khoa điều trị Trung tâm chỉnh hình phục hồi chức năng trẻ khuyết tật vận động TP.HCM</li>
<li>Bác sĩ là người đầu tiên đưa ra quy trình chẩn đoán &amp; phẫu thuật hiệu quả nhất cho bệnh nhân bị xơ hóa cơ Delta (bệnh chim sệ cánh) và được Bộ y tế giao trọng trách tổ chức tập huấn &amp; chuyển giao kỹ thuật mổ xơ hóa cơ Delta cho các cơ sở y tế ở nhiều địa phương như Thanh Hóa, Vĩnh Phúc, Hà Tĩnh, Nghệ An,… và trực tiếp phẫu thuật xơ hóa cơ Delta cho hàng nghìn trẻ em khắp các tỉnh thành Việt Nam (2006 – 2007)</li>
</ul>
<p><strong>Quá trình đào tạo</strong></p>
<ul>
<li>Tốt nghiệp trường Đại học Y Hà Nội (1968)</li>
<li>Tốt nghiệp Phó tiến sỹ y khoa (1979 – Liên Xô)</li>
<li>Tốt nghiệp Tiến sỹ khoa học (1997 – CHLB Nga)</li>
</ul>
<p><strong>Chứng chỉ trong nước, ngoài nước</strong></p>
<ul>
<li>Tu nghiệp chuyên môn tại Hoa Kỳ, Nhật Bản</li>
<li>Chứng nhận hành nghề y tế tư nhân loại hình bệnh viện do Bộ y tế cấp năm 2007</li>
<li>Chứng chỉ hành nghề khám chữa bệnh do Sở y tế TPHCM cấp năm 2013</li>
</ul>
","**Tiến sĩ, Bác sĩ Phan Minh**
* Là Giám đốc Bệnh viện STO Phương Đông
* Hơn 40 năm gắn bó với nghề y, đã thực hiện hàng trăm nghìn ca phẫu thuật, trong đó có 35.000 ca khám & phẫu thuật từ thiện cho trẻ em khuyết tật và người nghèo tại nhiều tỉnh thành của Việt Nam

**Quá trình công tác**
* Sáng lập viên kiêm Giám đốc Bệnh viện STO Phương Đông (2007 đến nay)
* Nguyên sáng lập viên kiêm Giám đốc bệnh viện Sài Gòn ITO (2002)
* Giảng viên trường Đại học Y Thanh Hóa & Đại học Y Thái Bình (1968 – 1971)
* Chủ nhiệm liên bộ môn ngoại chấn thương chỉnh hình & phẫu thuật thực hành tại Đại học Y Thái Bình (1979)
* Phó chủ nhiệm khoa chấn thương chỉnh hình bệnh viện Việt Nam – Bungari (1979)
* Bác sĩ khoa chấn thương Bệnh viện Thống Nhất TPHCM
* Bác sĩ khoa điều trị Trung tâm chỉnh hình phục hồi chức năng trẻ khuyết tật vận động TP.HCM
* Bác sĩ là người đầu tiên đưa ra quy trình chẩn đoán & phẫu thuật hiệu quả nhất cho bệnh nhân bị xơ hóa cơ Delta (bệnh chim sệ cánh) và được Bộ y tế giao trọng trách tổ chức tập huấn & chuyển giao kỹ thuật mổ xơ hóa cơ Delta cho các cơ sở y tế ở nhiều địa phương như Thanh Hóa, Vĩnh Phúc, Hà Tĩnh, Nghệ An,… và trực tiếp phẫu thuật xơ hóa cơ Delta cho hàng nghìn trẻ em khắp các tỉnh thành Việt Nam (2006 – 2007)

**Quá trình đào tạo**
* Tốt nghiệp trường Đại học Y Hà Nội (1968)
* Tốt nghiệp Phó tiến sỹ y khoa (1979 – Liên Xô)
* Tốt nghiệp Tiến sỹ khoa học (1997 – CHLB Nga)

**Chứng chỉ trong nước, ngoài nước**
* Tu nghiệp chuyên môn tại Hoa Kỳ, Nhật Bản
* Chứng nhận hành nghề y tế tư nhân loại hình bệnh viện do Bộ y tế cấp năm 2007
* Chứng chỉ hành nghề khám chữa bệnh do Sở y tế TPHCM cấp năm 2013","Là Giám đốc Bệnh viện STO Phương Đông
Hơn 40 năm gắn bó với nghề y, đã thực hiện hàng trăm nghìn ca phẫu thuật về chấn thương chỉnh hình","2024-07-22 17:17:36","2024-08-12 15:24:19"
